site_name,site_info,site_multi,dep_name,dep_info,dep_auto,dep_hidden,dep_reserved,dep_threshold,dep_role,dep_role_desc,dep_code,number,ext_name,ext_info,second_pbx_params,reserved_uid,pbx_name,profile_type,sip_remhost,sip_sipid,sip_userid,sip_mac,sip_userpass,site_config,dep_config,ext_config,sip_pbx_logo,sip_device_type,sip_transport,sip_remport,sip_remhost2,sip_remhost3,sip_localport,sip_realm,sip_vmnum,sip_parknum,sip_confnum,sip_http_remhost,sip_srtp,sip_outboundproxy,sip_linenumber,sip_lineaddress,sip_conferenceid,sip_conferenceuri
00265,265 A 14,TRUE,produce_manager,265 A 14,TRUE,FALSE,FALSE,,,,,499,499,499 PRO_MGR-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
00265,265 A 14,TRUE,deli,265 A 14,TRUE,FALSE,FALSE,,,,,460,460,460 DELI-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
00265,265 A 14,TRUE,career_coach,265 A 14,TRUE,FALSE,FALSE,,,,,481,481,481 ADMIN-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
00265,265 A 14,TRUE,cft_420,265 A 14,TRUE,FALSE,FALSE,,,,,420,420,420 CFT2-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
00265,265 A 14,TRUE,mic_408,265 A 14,TRUE,FALSE,FALSE,,,,,408,408,408 MIC3-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
00265,265 A 14,TRUE,market,265 A 14,TRUE,FALSE,FALSE,,,,,421,421,421 MARKET-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
00265,265 A 14,TRUE,tx_backyard,265 A 14,TRUE,FALSE,FALSE,,,,,450,450,450 TX_BACKYARD-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
00265,265 A 14,TRUE,estore_381,265 A 14,TRUE,FALSE,FALSE,,,,,381,381,381 CURBSIDE2-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
00265,265 A 14,TRUE,beauty,265 A 14,TRUE,FALSE,FALSE,,,,,441,441,441 COSMETICS-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
00265,265 A 14,TRUE,tsl_402,265 A 14,TRUE,FALSE,FALSE,,,,,402,402,402 TSL_402-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
00265,265 A 14,TRUE,tsl_404,265 A 14,TRUE,FALSE,FALSE,,,,,404,404,404 TSL_404-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
00265,265 A 14,TRUE,mic_407,265 A 14,TRUE,FALSE,FALSE,,,,,407,407,407 MIC2-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
00265,265 A 14,TRUE,seafood,265 A 14,TRUE,FALSE,FALSE,,,,,428,428,428 SEAFOOD_MGR-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
00265,265 A 14,TRUE,bakery_manager,265 A 14,TRUE,FALSE,FALSE,,,,,439,439,439 BKY_MGR-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
00265,265 A 14,TRUE,gm_manager,265 A 14,TRUE,FALSE,FALSE,,,,,448,448,448 DRUG_MGR1-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
00265,265 A 14,TRUE,tsl_400,265 A 14,TRUE,FALSE,FALSE,,,,,400,400,400 TSL_400-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
00265,265 A 14,TRUE,maintenance_484,265 A 14,TRUE,FALSE,FALSE,,,,,484,484,484 MAINTENANCE2-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
00265,265 A 14,TRUE,bakery,265 A 14,TRUE,FALSE,FALSE,,,,,430,430,430 BAKERY-W,,,ST-00265-Zoom,Zoom,us01sip60h.sjc.zoom.us,REDACTED,REDACTED,REDACTED,REDACTED,HEB-Zoom,HEB-Zoom,,,,TLS,5091,,,,NUM.zoom.us,,*6,,,TRUE,,,,,
